,Features
0,GRHL2
1,VWA5B2
2,GFAP
3,LAD1
4,ATP1B2
5,ESRP1
6,GPM6B
7,ESRP2
8,EFHD1
9,ENPP1
10,PRLR
11,AR
12,KRT6A
13,GATA3
14,SOX2
15,TMPRSS4
16,SOX21
17,MECOM
18,ST6GALNAC1
19,TP73
20,LGALS4
21,SUSD4
22,HOMER2
23,STOX2
24,PHYHD1
25,FAT2
26,LYNX1
27,SERPINB5
28,POU3F3
29,TACC2
30,PERP
31,TJP1
32,PTPN3
33,CDS1
34,DSP
35,CHST13
36,ASGR1
37,VTN
38,ASGR2
39,ITIH3
40,SERPINA1
41,KRT5
42,NAPSA
43,SFTPB
44,SLC22A31
45,C16orf89
46,SFTPA2
47,LMO3
48,DSC3
49,KRT6B
50,JAG1
51,S1PR5
52,SPINT2
53,SOX17
54,BCAM
55,CRB2
56,LRRN2
57,NAT8L
58,ZNF285
59,NPR1
60,TESC
61,NOSTRIN
62,GPR35
63,CLDN2
64,SERPINA5
65,SKA3
66,SLC45A3
67,KDF1
68,RAB25
69,OVOL1
70,GJB3
71,CDHR5
72,WDR53
73,NECTIN4
74,TACSTD2
75,RHOV
76,SDC1
77,ALDH3B2
78,POU5F1
79,PRSS16
80,PAX8
81,PITX1
82,PDE8B
83,SNX22
84,TFAP2A
85,PKP1
86,MSX1
87,CSTA
88,SCGB1D2
89,EMX2
90,SALL1
91,PRAME
92,ZNF280B
